id,displayName,mail
0023d8b8-5609-405b-ac3b-d41b74b2cdc5,CTiberio Sandbox,GR-CT-CTiberio-SB@lwsd.org
002457d6-604e-4ea0-b4e2-2bf3e80078b7,mraymer Sandbox,GR-CT-mraymer-SB@lwsd.org
002480cc-bdfd-4560-b39f-b3e9ba575211,emanlapaz Sandbox,GR-CT-emanlapaz-SB@lwsd.org
002525a6-f6b7-47f9-ba50-9538eca9d6a3,Period 1 Language Arts,Section_2024_372_767793-519135@lwsd.org
002830c1-db19-4a1a-8f62-e3cb7a8240c7,MUSIC 2_MELERSKI_SANDB_23-24,Section_2024_106_ELM265-273997@lwsd.org
002831e7-94bc-4281-8558-55386cf6df5f,10_GRIZZLY TIME_MORRIS [MOR]_RMS_YR_22-23,Section_2023_371_478895-498494@lwsd.org
0028c5b2-d502-4083-b7d0-9fac5bb5d6aa,6_Q MUSIC_HEADRICK_RMS_Q2_23-24,Section_2024_371_866922-514043@lwsd.org
002e560e-b06b-4039-aa0a-cb14fb6f8917,sallen Sandbox,GR-CT-sallen-SB@lwsd.org
00323815-2bff-4c91-9eb9-e6c40ff87b23,Grade 1_HINTON_BAKER_22-23,Section_2023_131_315854-HIN@lwsd.org
0036097e-e48f-4f1c-8c8f-df619dce543a,5_LIBRARY ASSISTANT_COURAGE_LWHS_S2_22-23,Section_2023_484_671815-477515@lwsd.org
00373268-2849-4386-b419-42715453a80b,EHS-Biotechnology Per. 4-Dean 22-23,Section_2023_486_935864-472008@lwsd.org
00400e51-7806-4f13-a031-d624f824ce5c,7_INTRO TO INTERNATIONAL STUDIES_HOLMAN_ICS_S2_22-23,Section_2023_479_774461-488907@lwsd.org
0045a7d3-8ffc-4d65-bd15-1f221a0e2253,2_8TH GRADE MATHEMATICS_ALVARADO_FHMS_S1_23-24,Section_2024_363_913783-516352@lwsd.org
00465ba4-f0f0-409e-aa3a-478368a9590a,JHS College & Career Center,GR-CT-kephillips-SB@lwsd.org
00469b08-79a9-4bc1-ab15-cf22100df993,LAK-3rd-Liang,Section_2023_110_577158-LIA@lwsd.org
0049d79c-2068-46c4-98f9-8cb347fa1c83,STEM-PERC P1-Thompson,Section_2023_487_114188-487645@lwsd.org
004a35fb-2027-4019-9239-76a2ed02c858,Mr. C TV- The Photoshop Tutorial Channel,GR-CT-TCharouhas-SB@lwsd.org
004abe8f-5f8b-48b6-961c-654b94a89985,1_ORGANIZATION_GARDNER_EMHS_N3_23-24,Section_2024_480_676372-524375@lwsd.org
004ac8b9-98d7-4ab9-b0e3-e4885e73a681,5_SCIENCE 8_STOVALL_IMS_S2_22-23,Section_2023_377_318383-481589@lwsd.org
004bf33d-0cee-49e5-9140-a80ebeec1b85,3_BIOLOGY IN THE EARTH SYSTEM_SPITZE_JHS_S2_22-23,Section_2023_482_932866-479593@lwsd.org
004d598c-c477-4d6d-9139-3af5333af567,jwarrentest Sandbox,GR-CT-jwarrentest-SB@lwsd.org
0054f4df-07ec-495e-9d70-720a2fe67f9a,RHS- Spanish 4- Period 4- Grimaldo,Section_2024_485_657396-523317@lwsd.org
005d5c8b-b5ec-4b89-ac47-b759fd2ea1a5,2_CERAMICS_POTTERY 1_DE MELLO E S_RHS_S1_22-23,Section_2023_485_777892-473465@lwsd.org
005e1bb2-908c-43f3-86a9-d2ca38fa8752,PE K_HATLEN_RHES_22-23,Section_2023_115_ELM070-291174@lwsd.org
005eb6fb-2872-444d-b1ca-555da803443a,5_STUDY HALL_HAMBY [5]_ICS_YR_22-23,Section_2023_479_345113-499325@lwsd.org
005f7d2a-95dd-4103-9030-e5a5cabac73c,7_INTRO TO ENGINEERING DESIGN_SHELTON_JHS_S2_22-23,Section_2023_482_777632-495798@lwsd.org
0062c464-4be7-4145-8711-1cf02481b002,LIBRARY 3_LUSCHER_LAKEV_23-24,Section_2024_110_ELM360-453974@lwsd.org
006729ed-2718-40cb-af5d-fae678d18488,Per6 SOCIAL STUDIES Walter RHMS 23-24,Section_2024_369_427691-514969@lwsd.org
0068333e-14bb-4970-af38-5fc0b0bb88e8,ICS--Humanities 2 Period 7--Castaneda,Section_2024_479_763999-510832@lwsd.org
006994b9-b4a9-466c-8246-9340bfcd6043,Grade 3_ALBERTSON_TWAIN_22-23,Section_2023_114_924172-ALB@lwsd.org
006a5d83-9013-4d47-93a3-74c3ee9f9152,10_FALCON TIME_SCHILLING [25]_FHMS_YR_23-24,Section_2024_363_348877-516581@lwsd.org
006a7d12-0750-4481-81e8-2f57263b5865,6_TEACHER ASSISTANT_GRUNDL_LWHS_S1_23-24,Section_2024_484_667933-508001@lwsd.org
006b2efc-98bf-4ada-b22b-170e74f643b2,SPED READING_THOMPSON_RHES_23-24,Section_2024_115_ELM880-THO@lwsd.org
006d38bd-88e5-40f2-8ce4-f8ce7b106df2,MUSIC 4_LEAVITT_AUDUB_23-24,Section_2024_119_ELM465-994519@lwsd.org
00731042-1509-4146-9220-c1cd3920b47d,3_MATH 6__SEGALL_ICS_S2_22-23,Section_2023_479_799698-488889@lwsd.org
00732495-dedb-482e-ab2a-0bf1a04d6165,6_Q ART_FLINT_RMS_Q2_22-23,Section_2023_371_572632-482969@lwsd.org
0079006f-d409-4748-8a36-3acde8d9b21b,7_TEACHER ASSISTANT_BAWA_EHS_S2_22-23,Section_2023_486_776882-474367@lwsd.org
007ad3e8-bda9-4887-bc50-737d76e22a68,EHS Crochet Club,GR-CT-cpixley-SB@lwsd.org
007ed1b9-04de-44de-844a-aa8726ad31bf,2_CONTEMPORARY WORLD PROBLEMS_CHISM_JHS_S1_23-24,Section_2024_482_535826-510121@lwsd.org
0084d1bd-a044-4f05-93f9-cb865cb06ac1,4 QUEST_HOBBS_MANN_23-24,Section_2024_122_384712-HOB@lwsd.org
00853000-f6d0-4925-ac77-9ce7cdd59ada,bderbyshire Sandbox,GR-CT-bderbyshire-SB@lwsd.org
00860e02-5372-4575-8336-c8b2d9eff797,10_HOMEROOM-HIGH SCHOOL_ELLIS [66]_LWHS_YR_22-23,Section_2023_484_327756-481310@lwsd.org
008616c5-e375-4e82-beb7-1aaa9871ea5b,MRabitoy Sandbox,GR-CT-MRabitoy-SB@lwsd.org
0087b6d1-90e0-4b6d-9210-6e35b6ef3068,4_TEACHER ASSISTANT_OSHIRO_LWHS_S1_22-23,Section_2023_484_256669-480879@lwsd.org
008b9b2c-76bc-4b49-b772-f0f7cc1d6380,0_OTHER_BANGS [SPB]_TMS_S1_23-24,Section_2024_372_923843-529434@lwsd.org
009024d6-afd3-475e-98da-01f152fb7d5e,MUSIC 5_SCHOENEN_REDES_22-23,Section_2023_123_ELM565-994134@lwsd.org
009233ea-ce8d-46b2-bb43-d3d4b0ec49da,Grade K_BAIR_ALCOT_22-23,Section_2023_153_927225-BAI@lwsd.org
0095f38c-68e4-4ce3-bee7-88832a5c8240,1_ART-1_HUGHES_RHS_S1_22-23,Section_2023_485_427113-473408@lwsd.org
0096d129-25af-4a7e-8f19-d7fc8897f43c,Grade 2_NIIYAMA_ALCOT_23-24,Section_2024_153_787331-NII@lwsd.org
0097eea1-375a-4694-9bfb-f6882edfd897,9_LEARNING CENTER-_FRALEY [49]_EMHS_N4_23-24,Section_2024_480_178559-525250@lwsd.org
009ba0b5-3366-452c-8323-a90e9546ba96,5_FRENCH 3_LANDIN_JHS_S2_22-23,Section_2023_482_529427-495496@lwsd.org
009c75c8-f9d9-4727-a71b-61a65622fef9,4_DRAWING_PAINTING 1_SWAIN_RHS_S1_22-23,Section_2023_485_879395-473438@lwsd.org
009c84d2-4611-42e7-9688-efa69384f550,3_MATHEMATICS 3_HUNTER_RMS_S2_22-23,Section_2023_371_677759-483696@lwsd.org
009df20e-d087-44dc-80da-f9585f880589,EHS - Jazz Ensemble Per 8 - Dahlberg,Section_2023_486_199579-473030@lwsd.org
00a111e1-fea3-4c19-a030-bba21d1a023d,Grade 3_SULLIVAN_RUSH_22-23,Section_2023_118_142649-SUL@lwsd.org
00a20349-f81f-4edb-98d7-11f0cfb9f6a6,5_LEADERSHIP 1-67_MILLER_EMS_S2_22-23,Section_2023_374_723245-482520@lwsd.org
00a5f762-bf5d-4331-905d-86213b707482,Grade 2_MEJINO_KELLE_22-23,Section_2023_104_255533-MEJ@lwsd.org
00a8d650-365a-4c5f-a749-c7ae36ef4a46,1_UW PRE-CALCULUS_ATZ_EHS_S2_22-23,Section_2023_486_283231-472994@lwsd.org
00a8d815-9748-4164-a820-db655c1a4d0b,4_CONCEPTS OF ALGEBRA 1_GARDNER_EMHS_N6_22-23,Section_2023_480_676372-490573@lwsd.org
00acaad8-1c16-404e-886a-dd6bf37505be,1_HEALTH_PARKS_WNCSS_SS_22-23,Section_2023_602_NS468321-499053@lwsd.org
00b09bee-72fc-4d29-b9cb-1e5498f5bddd,9_ADMINISTRATOR_SAMPLEY [27]_LWHS_YR_23-24,Section_2024_484_697258-508985@lwsd.org
00b0a703-fed8-4080-8fb3-1d0de12dfb39,ngorne Sandbox,GR-CT-ngorne-SB@lwsd.org
00b10ea0-3051-4a3e-b2c1-0dcfb5e9f086,PE Noto Fall 2022,Section_2023_376_786917-488667@lwsd.org
00b2ca4c-78f0-4ac5-be6e-a25e064353b4,Impact Instructional Practices through SLSO 9/24,GR-ImpactInstructionalPracticesthroughSLSO924@lwsd.org
00b313e7-e800-45c9-af73-9c31800ca4b7,Grade 2_CAYABYAB_MUIR_23-24,Section_2024_126_441981-SHI@lwsd.org
00b320d6-ca53-4e22-99b8-eb7fdcd5f4f8,Ansari-P. 5 Ceramics 1,Section_2023_484_143876-477446@lwsd.org
00b63615-1854-4df7-817e-0d002523ad4a,3_Q MS PREP_BURROW_KAMS_Q1_22-23,Section_2023_367_461953-484664@lwsd.org
00b6df75-9873-4ab4-adf0-1f3527c5ba83,2_SOCIAL STUDY 6_HUTCHENS_IMS_YR_22-23,Section_2023_377_665383-481817@lwsd.org
00b858a4-b233-4245-9483-76728203c241,EHS AP LIT_7th MCCORMACK-WRAY,Section_2023_486_332912-499420@lwsd.org
00b8710c-2c41-4751-b2e0-0164e71fa9a6,Grade 3_SIGEL_WILDE_23-24,Section_2024_132_583168-SIG@lwsd.org
00ba00f2-9ff4-40eb-8a2f-10ce9b6ba8ff,0_ADMINISTRATOR_BEDE [G07]_RMS_YR_22-23,Section_2023_371_597279-484102@lwsd.org
00ba2712-1c5c-4beb-9f73-26adac65dc2b,jwerth Sandbox,GR-CT-jwerth-SB@lwsd.org
00bce53d-465e-42b6-a958-c72c4b060554,Grade 1_HODGES_RHES_22-23,Section_2023_115_853464-SIE@lwsd.org
00be8f14-187a-4ee3-84db-68a384952ce1,10_HOMEROOM_ILAC_RHS_YR_23-24,Section_2024_485_617343-504934@lwsd.org
00c32ccc-cfdc-4844-b929-29148e6de84a,EHS-2D ART per 3 CHAMBERLIN 22-23,Section_2023_486_392748-471973@lwsd.org
00c36bc3-3ae5-4583-a9a8-3904f049c888,2_ADVANCED STRENGTH TRAINING_PIRIE_EHS_S1_23-24,Section_2024_486_353273-502245@lwsd.org
00c42ffe-9762-48e0-a688-58ef6c71ba1c,8th Q History- P6- Whitlatch,Section_2024_372_499494-513808@lwsd.org
00c48535-be13-4f7d-a47b-a72efdf9abba,US History - Ballingham,Section_2023_377_544295-498398@lwsd.org
00c50195-76a8-4bba-a6d2-6ecfaf047de3,1_SPANISH 2_KOLLINGER CO_EAS_R3_22-23,Section_2023_360_127394-497449@lwsd.org
00c590bb-3a65-45c4-889a-827bc331b513,MBlomquist Sandbox,GR-CT-MBlomquist-SB@lwsd.org
00c77709-6469-4fb3-8c42-b021cc5ff408,kmaddex Sandbox,GR-CT-kmaddex-SB@lwsd.org
00c96ad1-0fad-44f0-b941-12a117a44745,KiMS - P.4 Science - Mitchell 22-23,Section_2023_365_242199-485305@lwsd.org
00cde312-5635-430d-98c6-205d27dc5190,4_ENGLISH 6_DERSCHEID_RMS_S1_23-24,Section_2024_371_195655-525662@lwsd.org
00ce87aa-356e-40a0-aefc-7daea34fddd7,MULTILINGUAL LEARNERS_JOBE_MEAD_23-24,Section_2024_158_ELM875-JOB@lwsd.org
00d34225-b154-416a-99a9-fd4a6fd39b6e,3_PHYSICAL EDUCATION 7_8_MCGIBBON_FHMS_S2_22-23,Section_2023_363_561586-496728@lwsd.org
00d3a2ab-30a3-48ca-a197-b7db9dadf781,3_SPANISH 3_GUTIERREZ_RHS_S1_22-23,Section_2023_485_255249-491434@lwsd.org
00d581ca-6916-4c51-9f10-4d7311ecc9ee,P. 3 Algebra-VERMEULEN-TMS-23-24,Section_2024_372_915412-523124@lwsd.org
00d7598e-4a02-48ce-8c9e-978064e718ba,K5HC - Angela Vaitkus,GR-K5HC-AngelaVaitkus@lwsd.org
00d95f45-e406-4d8c-8981-dcd65520f33d,1_MATH 6_HUGH_RHMS_22-23,Section_2023_369_696323-484309@lwsd.org
00d9d17a-7b06-4a15-bb42-3ad7c680431e,3_TEACHER ASSISTANT_FISHER_EHS_S1_23-24,Section_2024_486_741983-502915@lwsd.org
00dff7de-1f7a-41fc-96a6-22fff38745a0,MULTILINGUAL LEARNERS_JANSEN_FRANK_22-23,Section_2023_116_ELM875-JAN@lwsd.org
00e04b63-1da5-4543-825d-135361ecefd3,TMS - Library - Anderson,Section_2024_372_ZZZ676@lwsd.org
00e68b87-1c2c-40d1-ab3e-cd4e6e0a4bd7,ncarpenter Sandbox,GR-CT-ncarpenter-SB@lwsd.org
00e99ead-f94f-478f-b5cd-040455168a27,5_TEACHER ASSISTANT_BROWNIE_TESLA_S1_23-24,Section_2024_487_471287-513305@lwsd.org
00ec160e-6772-4cfc-96c3-571718632094,LIB 3_CHERIAN_22-23,Section_2023_154_ELM360-192369@lwsd.org
00ef80ed-f85a-4695-926a-b06fa62373b2,2_GEOMETRY_SCHILLING_FHMS_S2_22-23,Section_2023_363_348877-485901@lwsd.org
00f0c942-2b85-426a-84c8-1ee31a64c427,Montoya Sandbox,MontoyaSandbox@lwsd.org
00f2c48f-af90-46d6-b14b-26a3e343000a,5_SPANISH 3_KAIRIS_RHS_S1_22-23,Section_2023_485_813736-475492@lwsd.org
00f38d89-d382-4b7d-baf2-01fe2bf7146c,Teacher Sandbox,TeacherSandbox@lwsd.org
00f71952-e9e9-4e2a-8bee-902e1e1f24ad,LIBRARY 1_TEACHOUT_WILDE_23-24,Section_2024_132_ELM160-919272@lwsd.org
00f9af84-89f6-4620-99e4-7cbc8dfaab0b,3_MS ML ENTERING_SKALISKY_KAMS_S1_23-24,Section_2024_367_862798-526507@lwsd.org
010219c1-7258-43a8-ac86-b2e55bc007e0,K-1st Gr_ART_Pippin_EMK12_S1_22-23,Section_2023_112_478171-487232@lwsd.org
01072de2-6f32-4f3e-8507-f4978c7bd328,10_HOMEROOM-HIGH SCHOOL_HULLINGER [46]_JHS_YR_23-24,Section_2024_482_119579-510498@lwsd.org
010b7582-a8f8-4544-b2e9-b4fe37dbb449,emahoney Sandbox,GR-CT-emahoney-SB@lwsd.org
010e97b5-24c3-4868-8eb2-8bf1d47585c2,4_TEACHER ASSISTANT_PLANK_ICS_S2_22-23,Section_2023_479_648533-500043@lwsd.org
01131671-a58d-42b9-8406-b038d7c660cf,ROCKWELL LIBRARY 4TH GRADE,Section_2023_121_ELM460-136569@lwsd.org
0116311f-7300-4fba-a5dc-493ff6166a92,5_ENGLISH 6_SHANNON_EMS_S1_22-23,Section_2023_374_119318-482188@lwsd.org
011a1d9e-522c-4fab-b971-75b301c4957b,2_AP SPANISH LANGUAGE_TYLEE_LWHS_S2_22-23,Section_2023_484_564695-478468@lwsd.org
011e4022-bc10-48a3-b33f-a39409654c04,RHS - World History to Present - 7th Period - Noteboom,Section_2024_485_732257-506015@lwsd.org
0122b42f-637f-469b-a166-039932ef941a,Grade 2_PECKINPAUGH_DICES_22-23,Section_2023_146_945132-PEC@lwsd.org
01248f2e-baff-4377-984e-be6e3fa58d68,gfaith Sandbox,GR-CT-gfaith-SB@lwsd.org
0128702a-bda8-43f9-aa5d-31828fea7dac,4_LEADERSHIP_PROJECT MGMT III_HILL_EHS_S1_23-24,Section_2024_486_594363-523276@lwsd.org
012df2e7-1d76-4d64-8701-494a94da8ea8,10_ADVISORY CLASS_MCFARLAND [8F]_RHMS_S2_22-23,Section_2023_369_215557-484940@lwsd.org
012ef005-08cf-4b7d-adaf-a48d3c59ba77,7_AP CALCULUS BC_EVERSON_EHS_S2_22-23,Section_2023_486_618821-473021@lwsd.org
01317685-53be-4293-a1f9-804883eff921,6_SCIENCE 8_SEMRAU_EMS_S1_23-24,Section_2024_374_921661-512066@lwsd.org
0131ff15-0028-437c-b01b-d8937a2946dd,6_GEOMETRY_POLLETT_KAMS_S1_22-23,Section_2023_367_732493-484957@lwsd.org
0132781b-2619-4113-9f8b-58717fe24078,EHS - TA Algebra 2 - Per 7 - Korshavn 22-23,Section_2023_486_578296-474084@lwsd.org
013b74d3-a1a0-499a-9516-4f7d14a53f3d,6th Period ELA Knox,Section_2024_363_595535-516282@lwsd.org
013d0d76-4e61-4e6d-98cd-8f02848cc61a,2_GEOMETRY_CURRY_RHS_S2_22-23,Section_2023_485_837266-475817@lwsd.org
014072de-0dc0-4acd-af57-58e99e35fedd,1_ORCHESTRA 2_ANDERSON_RMS_S2_22-23,Section_2023_371_341134-483889@lwsd.org
0141a5a9-dd52-4de6-a636-e9f88beaa283,10_HOMEROOM-MS_MAJEWSKI [03]_KAMS_YR_23-24,Section_2024_367_549632-515749@lwsd.org
01436c91-5739-4ee5-b2a8-fe2274a20876,SAFETY NET ELA_HENNESSEY_BART_22-23,Section_2023_128_ELM850-HEN@lwsd.org
01486141-e1d9-4aac-9f49-295fe69badb8,Grade K_BECKWITH_KELLE_22-23,Section_2023_104_314619-BEC@lwsd.org
0149a290-ec64-4dbc-9ac7-eaefb32a61b9,5_SCIENCE 7_KASPER_EMS_S2_22-23,Section_2023_374_445596-482123@lwsd.org
014b8fb0-7466-483b-9b40-3baef628ae71,azydel Sandbox,GR-CT-azydel-SB@lwsd.org
014c22d7-6eab-446b-958e-0156474c802e,EHS Pd. 4/5 Humanities 9: King,Section_2024_486_661758-527544@lwsd.org
014cd7c6-8eb7-406e-b7ca-4b9f9d28089f,Period 6 Social Studies,Section_2024_372_767793-513764@lwsd.org
01538e41-50e9-479d-8278-1942227a8ff4,SAFETY NET ELA_MEAD_BAKER_22-23,Section_2023_131_ELM850-MEA@lwsd.org
0154d862-d627-49c9-bfdd-3a6800d30099,3_MATH 6__GALBRAITH_EMS_S1_23-24,Section_2024_374_578281-522856@lwsd.org
0158bd87-eb33-4e96-9d97-dc66dcd5e982,RHS - Honors Biology - Period 5 - Bradwisch,Section_2023_485_997644-476594@lwsd.org
015b7724-5103-460a-9de3-77e85ce85420,Eastlake Christian Fellowship,GR-EHS-NewGen-SCA@lwsd.org
015ce46b-149a-41f8-ba22-2d5239f53d9c,1_PHOTOGRAPHY I-A_NIPP_LWHS_S2_22-23,Section_2023_484_283229-477633@lwsd.org
015d1a07-978b-4111-ad7d-7412577fbfed,4_ENGLISH 11_NEVILLE_EHS_S1_23-24,Section_2024_486_544271-501750@lwsd.org
015ded45-e03a-4852-bf25-92a960ad9958,7_BAM_SCHWARTZ_23-24,Section_2024_486_334667-501275@lwsd.org
015ef21a-0c1a-418d-880e-20a4b82882d7,2_MATH 7__LONG_RMS_S2_22-23,Section_2023_371_491183-495635@lwsd.org
0167ffc5-8c95-4ea2-9d76-a0e19c4b34e2,9TH HF - P.5,Section_2023_486_223735-473064@lwsd.org
016a9ce9-9e35-43b3-95f7-89ddddf5537f,Per 7 English 10--Keller & Erstad,Section_2023_484_217176-478143@lwsd.org
016caab5-f136-4196-80ff-ef659060df4f,LWSD Cabinet,GR-LWSDCabinet@lwsd.org
016cdb6c-242d-4fb1-afc0-a73fbb5b3dda,1_ENGLISH 10_ANDERSON_LWHS_S1_23-24,Section_2024_484_586613-523498@lwsd.org
016f0264-076e-4315-bf47-a5f40b66a573,1_ENGLISH 11_FRIEDLINE_EHS_S1_23-24,Section_2024_486_623787-501745@lwsd.org
016f72a2-067f-4bd0-a0e1-b82552716bd0,MUSIC 2_SANDSTROM_FRANK_23-24,Section_2024_116_ELM265-765934@lwsd.org
0170846f-9015-41d6-8a2a-0d88d106506e,PE 3_VAN CLEEMPUT_ROCKW_23-24,Section_2024_121_ELM370-383486@lwsd.org
01746d73-d403-4329-aa16-27d8d9033a45,6_ALGEBRA 2 HONORS_BALASUBRAMAN_RHS_S1_22-23,Section_2023_485_327652-491450@lwsd.org
01752ea5-87ad-4ed0-a8c2-2422916e0aff,6_AMERICAN SIGN LANGUAGE II_SQUIRE_LWHS_S2_22-23,Section_2023_484_138284-477574@lwsd.org
017563a6-acf0-48f1-ab76-5b5daa774118,4_ENGLISH 12 HONORS_SIMONS_RHS_S2_22-23,Section_2023_485_223221-475236@lwsd.org
01766c3d-4b95-4978-b1f0-d8d09c3161a8,LWHS - APES - P7 - THODY,Section_2023_484_932247-497608@lwsd.org
017828e3-895e-4f63-8c4b-e46c5fae21c2,3_AP BIOLOGY_HART_RHS_S1_23-24,Section_2024_485_436367-505860@lwsd.org
017a11b5-21f1-4ffe-a108-f434a4061ada,5_GEOMETRY_MYHRE-TOYODA_KIMS_S1_23-24,Section_2024_365_564297-526078@lwsd.org
01819819-4e11-4407-afcd-75b4fe4a1657,Sp. 3 Honors - Robertson - p. 5,Section_2023_487_935535-487869@lwsd.org
01839b3f-9506-4db4-a81b-e6b5b86df70e,5_SCIENCE 7_GARTON_RMS_S2_22-23,Section_2023_371_251399-483151@lwsd.org
0184784e-fa90-4d5a-99ee-c55de74ab284,EHS | Walking & Yoga 5th Period | Kidd,Section_2023_486_319787-473105@lwsd.org
018928f0-6e0d-4bac-a14f-8d9eb32bf933,6_ENGLISH 11_LASIK_LWHS_S1_23-24,Section_2024_484_967632-507102@lwsd.org
018a4d35-288a-434a-ba1e-314ed4743171,5_ROYAL EXPLORATION_MCSHANE_RHMS_S2_22-23,Section_2023_369_434769-484560@lwsd.org
018c4d4b-7933-418f-8353-73f0dd15e3c7,KaMS Safe Arrival Voicemail Group,GR-kamssafearrivalvm@lwsd.org
01924352-aa71-489e-85ce-8cf47abe0f87,2_FRENCH 2_OUIS_JHS_S1_23-24,Section_2024_482_685162-509579@lwsd.org
01934532-b9bf-4503-84cf-ee3a11d795be,6_CERAMICS_POTTERY 2_RAMEY_IMS_S2_22-23,Section_2023_377_435191-498273@lwsd.org
0197d1e5-1742-411a-9f66-47a8ce393dd2,9_PRODUCTION WORKSHOP_HEETBRINK_LWHS_S2_22-23,Section_2023_484_519158-477638@lwsd.org
019b709c-6f3e-4108-9fe5-cf6947bcfa6b,BWeibel Sandbox,GR-CT-BWeibel-SB@lwsd.org
019c43f8-16f9-44a9-aeda-a144fbcb6a82,6_US HISTORY 2_WA STATE HISTORY_CLAY_EMS_S2_22-23,Section_2023_374_246654-482456@lwsd.org
019e25c8-fcfc-4c34-9116-31a81a4b0f3d,Period 3-US History 7- Mr. McMurtry-EME-2022-23,Section_2023_374_899279-482429@lwsd.org
019f676a-5fff-40f7-ba7f-855f8b4e3ed9,6_PHYSICS HONORS_KITTAY_TESLA_S2_22-23,Section_2023_487_465114-488079@lwsd.org
01a0d6ef-f722-4c97-930c-704d28e55f49,3_RACQUET_NET SPORTS_ARENA_LWHS_S1_22-23,Section_2023_484_721888-478811@lwsd.org
01a45362-4e7c-47e4-b3fb-bfc5c24d4ba9,9_ADMINISTRATOR_GOFF [11]_LWHS_YR_23-24,Section_2024_484_874584-508968@lwsd.org
01a5e3be-6a7b-4714-baf8-1a3dfcc0d6c5,Grade 1_VOIGHT_AUDUB_23-24,Section_2024_119_748627-VOI@lwsd.org
01a5f8b4-0dd9-4421-975e-f6a26a0b3703,4_TEACHER ASSISTANT_WESSELS_EHS_S1_23-24,Section_2024_486_637635-503829@lwsd.org
01a81629-0e2c-410c-a948-779b73b5d2cd,2_FITNESS 7_JONES_TMS_S1_23-24,Section_2024_372_166577-526733@lwsd.org
01a9788e-43ab-4bc3-9bb8-4d4a5918daa4,3_OUTDOOR ADVENTURES - Hanson_Sem2 22-23,Section_2023_486_326644-473094@lwsd.org
01a990e5-cbb0-4a17-8584-e98405583830,0_DO NOT CHANGE_GRAY [09]_RHS_YR_22-23,Section_2023_485_383442-477194@lwsd.org
01ac1d5d-2389-406e-9034-8348d84ed7ff,Secondary Safety Net,GR-SecondarySafetynet@lwsd.org
01ad5055-25e8-43d7-811e-5ee94aa63bd6,4_MEDIA PRODUCTION_TRAN_IMS_S2_22-23,Section_2023_377_121398-481949@lwsd.org
01b0d488-dac7-4a12-ad07-2f338d2afce0,Ms. Slaton's 5th Grade Class 2023/2024,Section_2024_115_665941-SLA@lwsd.org
01b125e9-56da-4b7f-a7a0-f81d620560d9,MUSIC 4_LINDGREN_EINST_22-23,Section_2023_124_ELM465-328283@lwsd.org
01b2cc49-09f7-43de-959f-dc4f1ac6cfe1,sescamilla Sandbox,GR-CT-sescamilla-SB@lwsd.org
01b3d321-f61a-4e56-96a4-4b3912d5dceb,4_ENGLISH 9_MEARA_RHS_S1_22-23,Section_2023_485_377445-474970@lwsd.org
01b62451-d411-4fc2-ab85-76e1fc63d4db,Eagle Time - Gullitti,Section_2024_374_412928-512537@lwsd.org
01b9a681-0cf4-4894-bd12-980d818aaab1,0_SPECIALISTS_BLOCKI [OT]_RHMS_YR_22-23,Section_2023_369_988225-485039@lwsd.org
